date,title,relevance_summary,source,link,relevance_score,topic_labels
2026-03-14,Pacific Extratropical Precursors and Dynamic Mechanism of Two Types of Summer ENSO: Continuing and Emerging ENSO,"Identifies precursors of ENSO diversity (continuing vs. emerging) and dynamical mechanisms involving extratropical forcing and air–sea interaction, directly relevant to S2S predictability sources and teleconnection pathways.",Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0049.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Drivers of Marine Heat Waves in the North Pacific Ocean,Analyzes drivers of marine heat waves in the North Pacific linked to ENSO and PDO with atmospheric and oceanic feedback mechanisms; relevant to compound extreme event drivers and S2S predictability sources.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0308.1,3,"compound-extremes, predictability-sources, teleconnections"
2026-03-14,Interannual Variability of Marine Heat Waves in the South Indian Ocean,Examines interannual variability of marine heat waves in the South Indian Ocean associated with ENSO using mixed-layer heat budget analysis; relevant to compound extremes and S2S predictability from teleconnections.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0216.1,3,"compound-extremes, predictability-sources, teleconnections"
2026-03-14,Extreme Marine Heat Waves in the Tropical Atlantic during Boreal Early Spring 2024: Major Role of Shortwave Radiation and Mixed Layer Depth,Investigates extreme marine heat waves in tropical Atlantic during early spring 2024 with multi-regional drivers and links to El Niño and South Atlantic dipole; relevant to compound extremes and S2S predictability mechanisms.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0383.1,3,"compound-extremes, predictability-sources, teleconnections"
2026-03-14,Impacts of TC and MJO on El Niño Evolution: Revisiting the Formation Mechanism of 1986/87–1987/88 Two-Year El Niño,Reveals role of high-frequency tropical cyclone and MJO forcing in sustaining multiyear ENSO events; directly relevant to S2S predictability sources and understanding of compound seasonal climate phenomena.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0264.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Dominant Intraseasonal Modes of Winter Surface Air Temperature in the Extratropical Northern Hemisphere,Identifies dominant intraseasonal modes of winter surface air temperature in the extratropical Northern Hemisphere linked to Rossby wave dynamics; relevant to S2S predictability sources and teleconnection mechanisms.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0333.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,The Impact of Arctic Amplification on Midlatitude Winter Weather: Assessing the Stratospheric Pathway in a Warming Climate,Examines Arctic amplification and its stratospheric pathway influence on midlatitude winter weather and subseasonal extreme events in warming climate; relevant to S2S predictability sources and teleconnections.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0224.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Projected Future Changes of Ningaloo Niño under Global Warming,Projects changes in Ningaloo Niño under global warming with heat budget analysis; relevant to understanding variability of a key S2S predictability source.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-24-0553.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Regional Heavy Snowfall Events over the Northwestern Tibetan Plateau Dominated by Distinct Circulation Patterns,Identifies two dominant atmospheric circulation patterns driving regional heavy snowfall over northwestern Tibetan Plateau using self-organizing maps; relevant to S2S predictability of compound snow-moisture events.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0449.1,3,"compound-extremes, s2s-prediction, predictability-sources, event-definition"
2026-03-14,A Moisture Mode and Tropical Wave Analysis of Counterintuitive MJO Events,Analyzes MJO moisture mode and tropical wave activity in counterintuitive MJO events; relevant to understanding S2S predictability sources and teleconnection mechanisms.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-24-0714.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Interaction between the Madden–Julian Oscillation and Easterly Waves on Extreme Precipitation Events over Southeastern Mexico and Central America,Investigates interaction between MJO and easterly waves as precursors to extreme precipitation events at subseasonal timescales over Central America; relevant to S2S predictability sources and compound event drivers.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-24-0726.1,3,"s2s-prediction, compound-extremes, predictability-sources, teleconnections"
2026-03-14,The Strength of Coupling to the Southern Ocean Modulates Tropical Eastern Pacific Variability and Forced Response,Examines Southern Ocean–tropical eastern Pacific teleconnection strength modulating multidecadal variability and forced response; relevant to understanding S2S/seasonal predictability sources and remote climate interactions.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0226.1,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Combined impacts of ENSO and Arctic sea ice on North American climate,"Explores combined effects of ENSO and Arctic sea ice on North American climate, demonstrating teleconnection modulation relevant to understanding sources of seasonal predictability and their interaction with large-scale atmospheric states.",Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0469.1,3,"predictability-sources, teleconnections"
2026-03-14,Probabilistic Emulation of the Community Radiative Transfer Model Using Machine Learning,"Develops a neural network emulator of a radiative transfer model with explainable AI methods (feature importance) demonstrating that the trained model reproduces relevant physics, relevant to ML and interpretability in geoscience prediction systems.",Artificial Intelligence for the Earth Systems (AMS),https://doi.org/10.1175/aies-d-24-0109.1,3,"ml-s2s, xai"
2026-03-14,Global Forecasting of Tropical Cyclone Intensity Using Neural Weather Models,"Applies neural weather models to tropical cyclone intensity forecasting with post-processing for forecast improvement, demonstrating ML-based methods for extended-range prediction of extreme events.",Artificial Intelligence for the Earth Systems (AMS),https://doi.org/10.1175/aies-d-25-0073.1,3,"ml-s2s, verification"
2026-03-14,Skills in sub-seasonal to seasonal terrestrial water storage forecasting: insights from the FEWS NET land data assimilation system,"Evaluates terrestrial water storage forecast skill at 1–6 month lead times using a land data assimilation system over Africa, directly assessing S2S predictability of a hydrological variable relevant to drought monitoring.",Hydrology and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/hess-30-1097-2026,3,"s2s-prediction, verification"
2026-03-14,UK Hydrological Outlook using Historic Weather Analogues,"Implements historic weather analogues method for UK river flow forecasting with skill assessment at seasonal timescales, demonstrating windows of opportunity driven by large-scale circulation patterns (NAO) at S2S lead times.",Hydrology and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/hess-30-905-2026,3,"s2s-prediction, verification, teleconnections"
2026-03-14,Assessing the ability of the ECMWF seasonal prediction model to forecast extreme September–November rainfall events over Equatorial Africa,"Assesses ECMWF seasonal forecast skill for extreme rainfall events over Equatorial Africa, demonstrating seasonal predictability conditioned on teleconnections (ENSO, IOD) relevant to multi-hazard event forecasting.",Natural Hazards and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/nhess-26-1269-2026,3,"s2s-prediction, verification, teleconnections"
2026-03-14,Identification of hydro-meteorological drivers for forest low greenness events in Europe,"Uses random forest to identify hydro-meteorological drivers of forest low-greenness events in Europe, with feature importance showing multi-variable compound conditions; relevant to ML-based event prediction and understanding of compounding drivers.",Natural Hazards and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/nhess-26-1183-2026,3,"compound-extremes, ml-s2s, xai"
2026-03-14,Lessons learned in institutional preparedness and response during the 2022 European drought,"Addresses institutional preparedness and response to the 2022 European drought, highlighting the role of forecasting systems in drought risk management. Relevant to hazard prediction and compound event context, though lacks detailed S2S verification methodology.",Natural Hazards and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/nhess-26-955-2026,3,"compound-extremes, hazard-indices"
2026-03-14,Mechanisms shaping active‐break spell variability in flood and drought years of the Indian Summer Monsoon,"Examines active-break spell variability in flood and drought years of the Indian Summer Monsoon, directly addressing transitions between wet and dry extremes. Relevant to understanding mechanisms of consecutive hydroclimatic extremes on subseasonal timescales.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70140?af=R,3,"drought-flood, compound-extremes, predictability-sources"
2026-03-14,Causes of the 2022 Yangtze–Huaihe River basin drought: A comparative study with the 2020 flood,"Comparative study of the 2022 Yangtze-Huaihe River basin drought and 2020 flood, examining causes of these consecutive extremes. Directly relevant to drought-flood transitions and understanding drivers of sequential hydroclimatic hazards.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70159?af=R,3,"drought-flood, compound-extremes"
2026-03-14,Subseasonal predictability of cold spells in the central United States,Assesses subseasonal predictability of cold spells in the central United States at extended-range timescales. Directly relevant to S2S prediction skill assessment and windows of opportunity for extreme events.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70081?af=R,3,"s2s-prediction, predictability-sources"
2026-03-14,COBASE: A new copula‐based shuffling method for ensemble weather forecast postprocessing,Ensemble weather forecast postprocessing using copula-based methods; directly relevant to ensemble forecast methodology and verification at potentially subseasonal timescales.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70138?af=R,3,"ensemble-methods,verification"
2026-03-14,Forecast verification using information and noise,Develops forecast verification methodology using information theory and noise metrics; core contribution to S2S verification methods.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70109?af=R,3,verification
2026-03-14,Exceptionally poor and good medium‐range forecasts of the large‐scale circulation over Europe in ERA5 reforecasts,Evaluates medium-range forecast skill of large-scale circulation using ERA5 reforecasts; addresses forecast skill assessment at subseasonal timescale.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70117?af=R,3,"s2s-prediction,verification"
2026-03-14,Information‐based probabilistic verification scores and predictability measures: Seasonal prediction examples,Develops information-based probabilistic verification scores for seasonal prediction; directly relevant to S2S forecast verification methodology.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70035?af=R,3,"verification,s2s-prediction"
2026-03-14,Improving Indian summer monsoon rainfall prediction using deep learning up to two years in advance,"Addresses deep learning for monsoon rainfall prediction at seasonal timescales (up to two years), relevant to S2S/seasonal forecast skill assessment and ML methods for extended-range prediction.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70023?af=R,3,"s2s-prediction, ml-s2s"
2026-03-14,Evaluating seasonal forecast improvements over the past two decades,"Evaluates seasonal forecast skill improvements over decades, directly addressing forecast verification and skill assessment at seasonal timescales.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70036?af=R,3,"s2s-prediction, verification"
2026-03-14,Using a causal effect network approach to quantify the impact of ENSO teleconnections on summer monsoon precipitation over the Himalayas and key regional circulations,"Quantifies ENSO teleconnection impacts on monsoon precipitation using causal networks, relevant to sources of S2S predictability and teleconnection-driven forecast skill.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70114?af=R,3,"predictability-sources, teleconnections"
2026-03-14,A composite‐loss graph neural network for the multivariate post‐processing of ensemble weather forecasts,"Applies graph neural networks to post-process ensemble weather forecasts, relevant to ML/ensemble methods for forecast improvement at subseasonal timescales.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70119?af=R,3,"ml-s2s, ensemble-methods, verification"
2026-03-14,Assessing the impact of model biases on subseasonal forecast skill,"Assesses impact of model biases on subseasonal forecast skill, directly addressing S2S predictability and forecast verification.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70100?af=R,3,"s2s-prediction, verification, predictability-sources"
2026-03-14,Predictability of North Pacific blocking events: Analogue‐based analysis of historical MIROC6 simulations,"Analyzes predictability of North Pacific blocking events using historical simulations, relevant to S2S predictability and teleconnections.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70104?af=R,3,"s2s-prediction, predictability-sources, teleconnections"
2026-03-14,DecGAN: A bias correction and downscaling deep‐learning model for numerical predictions with applications to sea surface temperature in the Pacific and precipitation in Asia,"Applies deep learning for bias correction and downscaling of precipitation predictions, relevant to ML methods for improving seasonal/subseasonal forecast skill.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70094?af=R,3,"ml-s2s, verification"
2026-03-14,Regional and sub-basin tropical cyclone activity in the CMCC seasonal prediction system 3.5,"Evaluates seasonal forecast skill for tropical cyclone activity across multiple basins, identifies ENSO-TC teleconnection as predictability driver; relevant to S2S skill assessment and teleconnection sources.",Environmental Research Letters (IOP),https://iopscience.iop.org/article/10.1088/1748-9326/ae4ca6,3,"s2s-prediction, verification, predictability-sources, teleconnections"
2026-04-28,Weather to Subseasonal Prediction from the UFS Coupled Global Ensemble Forecast System,Weather and Forecasting (AMS),https://doi.org/10.1175/waf-d-23-0071.1,3,"Evaluates subseasonal forecast skill improvements in a coupled GFS ensemble system through 31-yr reforecasts and 3-yr retrospective forecasts, with assessments of precipitation and MJO prediction at weather and subseasonal lead times.","s2s-prediction, verification, ensemble-methods"
2026-04-28,Quantifying the Value of Convection-Allowing Global-Nested Ensembles for Extended-Range Severe Weather Forecasting,Weather and Forecasting (AMS),https://doi.org/10.1175/waf-d-25-0093.1,3,"Uses random forest machine learning to assess whether convection-allowing ensemble models add value for extended-range (up to 15 days) severe weather forecasting, demonstrating improved skill through day 7.","s2s-prediction, ml-s2s, verification"
2026-04-28,The Subseasonal Connection between the Land Surface and Great Plains Low-Level Jet,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0232.1,3,"Demonstrates subseasonal land-atmosphere coupling between soil moisture and Great Plains low-level jet intensity using MSSA decomposition, showing modulation of predictability at subseasonal timescales.","s2s-prediction, predictability-sources, teleconnections"
2026-04-28,Unraveling winter precipitation predictability over CONUS via deep learning and explainable artificial intelligence,Artificial Intelligence for the Earth Systems (AMS),https://doi.org/10.1175/aies-d-25-0105.1,3,"Applies deep learning and explainable AI (XAI) methods to understand seasonal precipitation predictability over CONUS, demonstrating how XAI tools can extract physical insights from ML models for geoscience.","s2s-prediction, ml-s2s, xai"
2026-04-28,Transformed-stationary EVA 2.0: a generalized framework for non-stationary multivariate extremes analysis,Hydrology and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/hess-30-2301-2026,3,"Presents a framework for non-stationary multivariate extremes analysis using copula theory and statistical modeling. Directly relevant to compound event characterization and hazard assessment methodology, though not specifically focused on S2S prediction or forecast skill.","compound-extremes,hazard-indices"
2026-04-28,Interpretable feature incorporation machine-learning framework for flood magnitude estimation,Hydrology and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/hess-30-2135-2026,3,"Develops an interpretable ML framework to assess feature contributions to flood magnitude estimation. Relevant for understanding drivers of extreme floods and explainable ML applied to hydrological hazards, though not specifically addressing S2S timescales or forecast skill.","ml-s2s,xai,event-definition"
2026-04-28,A GNN routing module is all you need for LSTM Rainfall–Runoff models,Hydrology and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/hess-30-2079-2026,3,"Combines LSTM and graph neural network approaches to improve river flow prediction across basin scales. Relevant for hybrid ML-dynamical methods applied to hydrological prediction, though timescale specificity and connection to S2S or extreme events is unclear.",ml-s2s
2026-04-28,Leveraging reforecasts for flood estimation with long continuous simulation: a proof-of-concept study,Natural Hazards and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/nhess-26-1835-2026,4,Demonstrates using reforecast archives to extend streamflow records and estimate rare flood statistics. Directly addresses S2S reforecasts (proof-of-concept) for hydrological extremes with implications for flood frequency and magnitude assessment.,"s2s-prediction,verification,event-definition"
2026-04-28,Simulating spatial multi-hazards with generative deep learning,Natural Hazards and Earth System Sciences (Copernicus/EGU),https://doi.org/10.5194/nhess-26-1663-2026,3,"Develops generative deep learning to simulate spatially resolved multi-hazards events. Relevant for ML applied to multi-hazard modeling and compound event characterization, though not directly addressing S2S prediction or forecast skill assessment.","compound-extremes,ml-s2s"
2026-04-28,Long‐Term Observations Reveal Non‐Negligible Temperature Contributions to Moist Static Energy During the MJO Transition From Suppressed to Active Phases,Geophysical Research Letters (AGU/Wiley),https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2025GL120505?af=R,3,"Examines MJO transitions and their thermodynamic drivers, directly relevant to understanding sources of S2S predictability.","predictability-sources,teleconnections"
2026-04-28,ENSO Predictability From Combined Wyrtki and Hasselmann Memory in a Cyclostationary Linear Inverse Model,Geophysical Research Letters (AGU/Wiley),https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2025GL119694?af=R,3,"Addresses ENSO predictability using a linear inverse model framework, examining memory mechanisms relevant to S2S prediction skill sources.","s2s-prediction,predictability-sources,teleconnections"
2026-04-28,Are we misdiagnosing ensemble forecast reliability? On the insufficiency of spread–error and rank‐based reliability metrics,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70186?af=R,3,"Directly addresses ensemble forecast reliability and verification metrics for ensemble systems, proposing improved diagnostic methods. Methodologically relevant to S2S forecast verification even if specific timescale is unclear.","verification,ensemble-methods"
2026-04-28,An opportunity index to anticipate when subseasonal predictions are useful,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70175?af=R,4,"Directly addresses subseasonal forecast utility and windows of opportunity, identifying when S2S predictions are predictable—core to the thesis question. Explicitly bridges forecast skill emergence with operational opportunity.","s2s-prediction,windows-of-opportunity,verification"
2026-04-28,Understanding the trans‐season impact of Tibetan plateau snow cover anomalies on tropical cyclogenesis over the western North Pacific,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70178?af=R,3,"Examines trans-seasonal teleconnection (Tibetan plateau snow cover) influence on tropical cyclogenesis, demonstrating a source of seasonal predictability relevant to understanding when S2S forecast skill may emerge.","predictability-sources, teleconnections"
2026-04-28,Land data assimilation of satellite‐based surface soil moisture: Impact on atmospheric simulations over the contiguous United States,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70052?af=R,3,"Investigates land data assimilation of satellite soil moisture and its atmospheric impact at regional scales, relevant to understanding land-atmosphere coupling as a source of S2S predictability.",predictability-sources
2026-04-28,Fuzzy postprocessing of seasonal climate forecasts for semiarid river basins,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70050?af=R,3,"Applies postprocessing methods to seasonal climate forecasts for river basin prediction, directly addressing S2S forecast skill and application to hydrological extremes.","s2s-prediction, verification"
2026-04-28,Generating ensembles of spatially coherent in situ forecasts using flow matching,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70055?af=R,3,"Develops ensemble generation methods for spatially coherent forecasts using flow matching, a methodologically relevant contribution to S2S ensemble postprocessing.","ensemble-methods, s2s-prediction"
2026-04-28,North Atlantic fingerprint on severe heatwaves over the Indian region,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70061?af=R,3,"Identifies North Atlantic teleconnection fingerprint on severe heatwaves in India, establishing a source of regional S2S predictability through large-scale atmospheric state.","predictability-sources, teleconnections"
2026-04-28,Impacts of subtropical pacific variability on snow precipitation fraction (SPF) in the Upper Colorado River Basin,Environmental Research Letters (IOP),https://iopscience.iop.org/article/10.1088/1748-9326/ae58bb,3,"Examines links between subtropical Pacific variability and precipitation phase partitioning in the Upper Colorado River Basin, establishing a teleconnection driver of seasonal hydrological variability relevant to S2S predictability.","predictability-sources, teleconnections"
